material,energy_mj_per_kg_coal_al,energy_mj_per_kg_default,ghg_g_per_kg_coal_al,ghg_g_per_kg_default
virgin_steel,31.32495666409662,31.32495666409662,2843.5660191643333,2843.5660191643333
recycled_steel,19.06166303723609,19.06166303723609,1287.3398874743875,1287.3398874743875
stainless_steel,26.13887204534219,26.13887204534219,1771.712674307837,1771.712674307837
cast_iron,31.44180657005337,31.44180657005337,944.2383020538413,944.2383020538413
virgin_wrought_aluminum,192.38570427734732,120.95914685012082,18370.647678120487,7361.016746268071
recycled_wrought_aluminum,29.97295012627631,24.264303949052863,2404.8668850501526,1524.9408491944328
virgin_cast_aluminum,213.09414300877964,134.38307927682033,20306.04791845659,8173.589164227705
recycled_cast_aluminum,34.117567581737084,27.82671962176858,2711.9815823569807,1742.3154416051198
copper_brass,40.34768183586274,40.34768183586274,2796.6193423775144,2796.6193423775144
glass,20.721804139804703,20.721804139804703,1601.0217076242864,1601.0217076242864
plastics,89.13710438913373,89.13710438913373,4063.768998664725,4063.768998664725
carbon_fiber,539.653522908163,539.653522908163,36239.75718539854,36239.75718539854
rubber,49.941730643512514,49.941730643512514,3575.223188181744,3575.223188181744
others,120,140,9000,9000
