column,name,lifetime_years,annual_km,lifetime_km,electricity_region,vehicle_weight_kg,battery_capacity_kwh,production_region,battery_chemistry,hydrogen_pathway,occupancy,service_vehicle,service_km_per_vehicle_day,vehicles_per_service_trip,share_steel,share_stainless_steel,share_cast_iron,share_wrought_aluminum,share_cast_aluminum,share_copper_brass,share_glass,share_plastics,share_carbon_fiber,share_rubber,share_others,battery_replacements,fluids_energy_mj,fluids_ghg_g,fluids_weight_scaled,fuel_consumption_per_100km,electricity_consumption_kwh_per_km,hydrogen_consumption_per_100km,electric_driving_share,fuel_type,delivery_weight_computed,delivery_weight_kg,delivery_km_air,delivery_km_ship,delivery_km_train_a,delivery_km_train_b,delivery_km_heavy_truck_a,delivery_km_heavy_truck_b,delivery_km_medium_truck_a,delivery_km_medium_truck_b,delivery_km_van_a,delivery_km_van_b,services_uses_intensity_table,infra_category,infra1_type,infra2_type,infra1_asphalt_t_per_km,infra1_cement_t_per_km,infra1_steel_t_per_km,infra2_asphalt_t_per_km,infra2_cement_t_per_km,infra2_steel_t_per_km,infra1_lifetime_years,infra2_lifetime_years,infra1_annual_use_mvkm,infra2_annual_use_mvkm,infra_share_1,infra_rail_allocation
D,Private e-scooter,3,2200,6600,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,None,0,0.0,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.011000000000000001,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
E,"Shared e-scooter (first generation, worst case)",0.5,1450,725,100% coal,13.601849846090737,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,16.875,5,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.026265985334288797,1991.4910864372616,1,0.0,0.0061875,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
F,"Shared e-scooter (first generation, best case)",1.5,4350,6525,"100% solar, wind or hydro",10.88147987687259,0.33,Default,NMC111,,1,Van - BEV,5.625,15,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.0061875,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
G,"Shared e-scooter (first generation central case, daily distance 50% lower)",0.8333333333333334,1450,1208.3333333333335,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.0061875,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
H,"Shared e-scooter (first generation central case, daily distance 50% higher)",0.8333333333333334,4350,3625,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.0061875,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
I,"Shared e-scooter (first generation central case, low-carbon EVs for operational services)",0.8333333333333334,2900,2416.666666666667,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - BEV (low carbon),11.25,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.00825,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
J,"Shared e-scooter (first generation central case, EVs for operational services)",0.8333333333333334,2900,2416.666666666667,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - BEV,11.25,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.00825,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
K,"Shared e-scooter (first generation central case, 50% more vehicles per servicing trip)",0.8333333333333334,2900,2416.666666666667,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,15,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.0061875,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
L,"Shared e-scooter (first generation central case, 50% less vehicles per servcing trip)",0.8333333333333334,2900,2416.666666666667,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,5,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.00825,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
M,"Shared e-scooter (first generation central case, vehicle servicing distance 50% down)",0.8333333333333334,2900,2416.666666666667,World,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,5.625,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.00825,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
