region,oil,natural_gas,coal,nuclear,biomass,other_renewables
Brazil,0.026329575493970338,0.09733619623021275,0.0474669910976774,0.02733767822739351,0.08726895491626716,0.7142606040344789
China,0.0017151112328756613,0.029332717832713198,0.6819772978734219,0.03409235130720887,0.01035796113714592,0.24252456061663444
EU 28,0.018294767547678427,0.1877853081081613,0.22621274392613472,0.25815587660916234,0.04901857700121502,0.2605327268076482
France,0.0044597967865555675,0.06128748725521218,0.018493126604085364,0.7087772035298667,0.008738529690960868,0.19824385613331927
Germany,0.009034766697163769,0.1271821913404713,0.4222138423876759,0.13079857075739967,0.06953648525011745,0.24123414356717193
India,0.015854473985560016,0.04821381679575301,0.747736138671489,0.02566115579426678,0.028406214553142874,0.1341282001997883
Italy,0.04197113122422431,0.4364499432588779,0.13286764095325085,0,0.0591422403055717,0.3295690442580752
Japan,0.08187164393284779,0.3920214325391927,0.3369713229848167,0.01741683125540057,0.014484130045673374,0.15723463924206887
Korea,0.03177622607880261,0.22647786204354223,0.4199948462279041,0.28989073287355005,0.00993353781401325,0.021926794962187777
Mexico,0.10641147484936594,0.6030349508655382,0.10849729783984016,0.033144197805024166,0,0.1489120786402316
Unitd Kingdom,0.005418401350622718,0.4223995945774737,0.09275513481182915,0.21133238459747966,0.08044513979121919,0.18764934487137558
United States,0.008144465798117347,0.33227845876780715,0.3172669985467943,0.1968032286378528,0.014174261904125914,0.13133258634530248
100% oil,1,0,0,0,0,0
100% natural gas,0,1,0,0,0,0
100% coal,0,0,1,0,0,0
100% nuclear,0,0,0,1,0,0
"100% solar, wind or hydro",0,0,0,0,0,1
World,0.03725035072526417,0.23173288917465615,0.3820320435464072,0.10422907715219884,0.018484849260529238,0.22627079014094445
