vehicle,fuel_mj_per_km,electricity_mj_per_km,fuel,electric_share,low_carbon_electricity,energy_mj_per_km_world,ghg_g_per_km_world
None,0,0,,0,0,0,0
Car - ICE,2.277184,0,Gasoline (Oil),0,0,2.7193101090909098,188.44819056
Car - HEV,1.6962697142857144,0,Gasoline (Oil),0,0,2.025608550649351,140.37467256
Car - PHEV,1.6962697142857144,0.6852464914285714,Gasoline (Oil),0.3591431387331247,0,1.9013156027096296,128.49688354150658
Car - BEV,0,0.6852464914285714,Electricity,1,0,1.6795266280539096,107.30209581415916
Large car - ICE,2.963688,0,Gasoline (Oil),0,0,3.5391021272727277,245.25977741999998
Large car - HEV,2.181694935698448,0,Gasoline (Oil),0,0,2.60528138859101,180.54600022935696
Large car - PHEV,2.181694935698448,0.6852464914285714,Gasoline (Oil),0.3591431387331247,0,2.2728029181945835,154.24095450461385
Large car - BEV,0,0.6852464914285714,,1,0,1.6795266280539096,107.30209581415916
Van - ICE,2.963688,0,Gasoline (Oil),0,0,3.5391021272727277,245.25977741999998
Van - HEV,2.181694935698448,0,Gasoline (Oil),0,0,2.60528138859101,180.54600022935696
Van - PHEV,2.181694935698448,0.7203536109977826,Gasoline (Oil),0,0,2.60528138859101,180.54600022935696
Van - BEV,0,0.7203536109977826,,1,0,1.7655735365580867,112.79948624941878
Van - BEV (low carbon),0,0.7203536109977826,,1,1,0.7574696225002973,0
